n,coverage,se,nominal,z,stratum,value,target,policy,backend
155,0.9612903225806452,0.01549427330077134,0.95,0.7286771287352444,ess_stratum,Q3,q0.95,entropy_vector,ref
254,0.952755905511811,0.013312135548104318,0.95,0.20702204404788296,ess_stratum,Q4,q0.95,entropy_vector,ref
14,0.9285714285714286,0.06883029368995938,0.95,-0.31132471299766146,overlap_status,no_overlap,q0.99,entropy_vector,ref
586,0.9556313993174061,0.008506174023146473,0.95,0.6620366926519937,overlap_status,overlap,q0.99,entropy_vector,ref
107,0.9626168224299065,0.018338885606247482,0.95,0.6879819581626283,info_stratum,Q1,q0.99,entropy_vector,ref
75,0.9333333333333333,0.028803291992923818,0.95,-0.5786375623578427,info_stratum,Q2,q0.99,entropy_vector,ref
131,0.9618320610687023,0.01674030364646457,0.95,0.7068008632687631,info_stratum,Q3,q0.99,entropy_vector,ref
287,0.9547038327526133,0.012275073817001447,0.95,0.38320199313981607,info_stratum,Q4,q0.99,entropy_vector,ref
97,0.9587628865979382,0.020188956325901238,0.95,0.4340435660210904,ess_stratum,Q1,q0.99,entropy_vector,ref
94,0.9468085106382979,0.023146654282653962,0.95,-0.1378812385897947,ess_stratum,Q2,q0.99,entropy_vector,ref
155,0.9548387096774194,0.016679473221932483,0.95,0.2900996699977784,ess_stratum,Q3,q0.99,entropy_vector,ref
254,0.9566929133858267,0.012771705757854725,0.95,0.5240422471924374,ess_stratum,Q4,q0.99,entropy_vector,ref
14,0.7857142857142857,0.10966421051124836,0.95,-1.4980795787415377,overlap_status,no_overlap,mu,entropy_vector,particle
586,0.9488054607508533,0.009104405639477368,0.95,-0.1312045284941049,overlap_status,overlap,mu,entropy_vector,particle
107,0.9439252336448598,0.022241324452375952,0.95,-0.27312970359061534,info_stratum,Q1,mu,entropy_vector,particle
75,0.92,0.03132624033192194,0.95,-0.9576635971035897,info_stratum,Q2,mu,entropy_vector,particle
131,0.9541984732824428,0.01826516871820695,0.95,0.22986227760698077,info_stratum,Q3,mu,entropy_vector,particle
287,0.9477351916376306,0.013137333848969614,0.95,-0.1723948244298398,info_stratum,Q4,mu,entropy_vector,particle
97,0.9072164948453608,0.0294581174512516,0.95,-1.4523502808840003,ess_stratum,Q1,mu,entropy_vector,particle
94,0.9468085106382979,0.023146654282653962,0.95,-0.1378812385897947,ess_stratum,Q2,mu,entropy_vector,particle
