mu_true,sigma_true,target,backend,n,coverage,coverage_se,z_vs_nominal,mean_width,median_width,bias,rmse,frac_no_overlap,frac_all_equal,mean_ess
34.0,3.0,sigma,particle,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,4.456447740991018,4.387617645598181,-0.02001923405509479,0.8003105035610798,0.0,0.0,6885.046497623647
34.0,3.0,sigma,ref,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,,,-0.02001923405509479,0.8003105035610798,0.0,0.0,6885.046497623647
34.0,3.0,q0.5,particle,150,0.96,0.016000000000000007,0.6250000000000002,3.7274677068479574,3.754264404102246,-0.11246420929627557,0.759673777680095,0.0,0.0,6885.046497623647
34.0,3.0,q0.5,ref,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,,,-0.11246420929627557,0.759673777680095,0.0,0.0,6885.046497623647
34.0,3.0,q0.95,particle,150,0.9733333333333334,0.013154354299509981,1.7738106182986595,8.257668858595277,8.148897787320376,-0.13273428564129242,1.4765824146729858,0.0,0.0,6885.046497623647
34.0,3.0,q0.95,ref,150,0.9733333333333334,0.013154354299509981,1.7738106182986595,,,-0.13273428564129242,1.4765824146729858,0.0,0.0,6885.046497623647
34.0,3.0,q0.99,particle,150,0.98,0.01143095213298817,2.6244532958391202,11.036975440847543,10.842828882706023,-0.14738127834401524,1.9657383259709509,0.0,0.0,6885.046497623647
34.0,3.0,q0.99,ref,150,0.98,0.01143095213298817,2.6244532958391202,,,-0.14738127834401524,1.9657383259709509,0.0,0.0,6885.046497623647
34.0,6.0,mu,particle,150,0.92,0.022150996967781528,-1.3543408472149001,6.3290364003285875,6.402386309943973,-0.24988219014453517,1.5063847201396807,0.0,0.0,7659.510783289213
34.0,6.0,mu,ref,150,0.92,0.022150996967781528,-1.3543408472149001,,,-0.24988219014453517,1.5063847201396807,0.0,0.0,7659.510783289213
34.0,6.0,sigma,particle,150,0.9266666666666666,0.02128466671190877,-1.0962508198579552,8.085083058084832,7.753342391687411,-0.48347920664228716,1.865555842147285,0.0,0.0,7659.510783289213
34.0,6.0,sigma,ref,150,0.9266666666666666,0.02128466671190877,-1.0962508198579552,,,-0.48347920664228716,1.865555842147285,0.0,0.0,7659.510783289213
34.0,6.0,q0.5,particle,150,0.92,0.022150996967781528,-1.3543408472149001,6.3290364003285875,6.402386309943973,-0.24988219014453517,1.5063847201396807,0.0,0.0,7659.510783289213
34.0,6.0,q0.5,ref,150,0.92,0.022150996967781528,-1.3543408472149001,,,-0.24988219014453517,1.5063847201396807,0.0,0.0,7659.510783289213
34.0,6.0,q0.95,particle,150,0.9466666666666667,0.018346459947155818,-0.1816880936668141,14.776578021244744,14.259776748520995,-1.0249339459719535,3.256677560117332,0.0,0.0,7659.510783289213
34.0,6.0,q0.95,ref,150,0.9466666666666667,0.018346459947155818,-0.1816880936668141,,,-1.0249339459719535,3.256677560117332,0.0,0.0,7659.510783289213
34.0,6.0,q0.99,particle,150,0.9466666666666667,0.018346459947155818,-0.1816880936668141,19.88159864002572,19.135437321819694,-1.355426150536966,4.423845381287052,0.0,0.0,7659.510783289213
34.0,6.0,q0.99,ref,150,0.9466666666666667,0.018346459947155818,-0.1816880936668141,,,-1.355426150536966,4.423845381287052,0.0,0.0,7659.510783289213
