setting,policy,n,target,estimator,mse,mse_se,bias,rmse,n_used,n_total,coverage,coverage_se,mean_width
probit_ind_poor,entropy_vector,20,q0.99,mle,9.625553134360253,0.9663232683425093,-1.2974042033844093,3.1025075558909205,250,250,,,
probit_ind_poor,entropy_vector,20,q0.01,bayes,,,,,0,250,,,
probit_ind_poor,entropy_vector,20,q0.05,bayes,,,,,0,250,,,
probit_ind_poor,entropy_vector,20,q0.01,mle,,,,,0,250,,,
probit_ind_poor,entropy_vector,20,q0.05,mle,,,,,0,250,,,
probit_ind_poor,entropy_vector,30,mu,bayes,0.8282016899138763,0.0847273782314886,-0.17031032064554535,0.9100558718638523,250,250,0.928,0.01634821091128934,3.4594632422879648
probit_ind_poor,entropy_vector,30,sigma,bayes,0.808086526965133,0.06369029795889566,-0.21134924879892908,0.8989363308739574,250,250,0.956,0.012971353052014278,4.117314705951947
probit_ind_poor,entropy_vector,30,q0.5,bayes,0.8282016899138763,0.0847273782314886,-0.17031032064554535,0.9100558718638523,250,250,0.928,0.01634821091128934,3.4594632422879648
probit_ind_poor,entropy_vector,30,q0.95,bayes,3.162725330797377,0.25584280669522647,-0.5102664267597731,1.778405277431828,250,250,0.928,0.01634821091128934,7.620600930073025
probit_ind_poor,entropy_vector,30,q0.99,bayes,5.417106643212637,0.42698454913550504,-0.6559292191470284,2.3274678608334503,250,250,0.936,0.01547953487673321,10.196936850346795
probit_ind_poor,entropy_vector,30,mu,mle,0.8355171608203928,0.08713678247875137,-0.03510336772151308,0.9140662781332615,250,250,,,
probit_ind_poor,entropy_vector,30,sigma,mle,0.9660221217021024,0.07293122989558808,-0.35313047914146106,0.9828642437804432,250,250,,,
probit_ind_poor,entropy_vector,30,q0.5,mle,0.8355171608203928,0.08713678247875137,-0.03510336772151308,0.9140662781332615,250,250,,,
probit_ind_poor,entropy_vector,30,q0.95,mle,3.7461546137383066,0.2969096151252519,-0.6159513171244597,1.9354985439773151,250,250,,,
probit_ind_poor,entropy_vector,30,q0.99,mle,6.483611668332352,0.4998592083727755,-0.856607707131277,2.5462937121102804,250,250,,,
probit_ind_poor,entropy_vector,30,q0.01,bayes,,,,,0,250,,,
probit_ind_poor,entropy_vector,30,q0.05,bayes,,,,,0,250,,,
probit_ind_poor,entropy_vector,30,q0.01,mle,,,,,0,250,,,
probit_ind_poor,entropy_vector,30,q0.05,mle,,,,,0,250,,,
probit_ind_poor,entropy_mu,20,mu,bayes,1.0050604170382482,0.10379158220142694,-0.28485915049566546,1.0025270156151644,250,250,0.924,0.016759952267235128,4.19026080553093
probit_ind_poor,entropy_mu,20,sigma,bayes,1.2236809220665577,0.09905536128564964,-0.4422548472232862,1.10620112188813,250,250,0.968,0.011131217363792701,6.9071224804508695
probit_ind_poor,entropy_mu,20,q0.5,bayes,1.0050604170382482,0.10379158220142694,-0.28485915049566546,1.0025270156151644,250,250,0.924,0.016759952267235128,4.19026080553093
probit_ind_poor,entropy_mu,20,q0.95,bayes,4.780754435521057,0.45053701441559046,-1.0085351449723678,2.1864936394879035,250,250,0.964,0.011782020200288238,12.370429408874287
probit_ind_poor,entropy_mu,20,q0.99,bayes,8.287086232534532,0.7455048867942999,-1.3044560912557153,2.878729968672736,250,250,0.968,0.011131217363792701,16.88480028405369
probit_ind_poor,entropy_mu,20,mu,mle,1.0775968292954143,0.13881800396055788,-0.1703605590532918,1.038073614583963,250,250,,,
