mu_true,sigma_true,replicate,arm,n_particles,rejuvenate,kl_threshold,overlap,ess,max_weight,n_resamples,n_invalid,q0.5_p_covered,q0.5_r_covered,q0.5_cov_diff,q0.5_rank_diff,q0.5_shift_in_ref_sd,q0.5_sd_ratio,q0.95_p_covered,q0.95_r_covered,q0.95_cov_diff,q0.95_rank_diff,q0.95_shift_in_ref_sd,q0.95_sd_ratio,q0.99_p_covered,q0.99_r_covered,q0.99_cov_diff,q0.99_rank_diff,q0.99_shift_in_ref_sd,q0.99_sd_ratio
38.0,0.3,2,N=40k rejuv,40000,True,0.1,False,58.35733241093293,0.09787242536949967,5,35536,True,True,0,0.029631692473758242,0.005301219944040329,1.110770103256266,True,True,0,-0.23630636081901857,1.2418248423629883,1.028762557617342,False,True,-1,-0.27837635638382435,1.3851433644831668,1.004443512537441
38.0,0.3,2,N=160k rejuv,160000,True,0.1,False,4.015042679102881,0.48510604896499004,5,147823,True,True,0,0.32132836845644935,-0.6353569689206999,1.1077638977307274,True,True,0,0.23332991088302785,0.0620247082674058,1.0760102839398162,True,True,0,0.20813300611726115,0.20082042218042537,1.0170243464163045
38.0,0.3,2,N=10k no-rejuv,10000,False,inf,False,9.46519845418119,0.20693790176916127,0,0,True,True,0,0.148458500715196,-0.363282857707692,0.885154207270717,True,True,0,0.3375423383876718,-0.37524877623495023,0.8578146167510217,True,True,0,0.3164659477344597,-0.3436518492989101,0.8385814226346952
38.0,0.3,2,N=10k rejuv KL=0.02,10000,True,0.02,False,1025.6910181013527,0.013355185426422556,17,21606,True,True,0,-0.027968052631799523,0.061590290509592555,0.9664448448167429,True,True,0,-0.057852706281742716,0.14043880850854093,0.9309385484226357,True,True,0,-0.06664273430843781,0.14401558844008447,0.9344862114777293
38.0,0.3,4,N=10k rejuv,10000,True,0.1,True,81.58155797123685,0.06856124841670068,5,7966,True,True,0,-0.013321699168154219,0.4836463438784553,1.2668044323191203,False,True,-1,-0.03298565010870145,0.9394867297536428,0.9515860230822721,False,True,-1,-0.032086653621903986,0.9735352415090025,0.929632323070282
38.0,0.3,4,N=40k rejuv,40000,True,0.1,True,95.60068621218151,0.06638316987725232,5,37755,True,True,0,-0.0494062349649843,0.29064580537658624,0.9881889146868768,False,True,-1,-0.03298513109291965,0.5264003015141777,0.8785073747725428,False,True,-1,-0.03208665362186658,0.5422655787553085,0.8763895424051198
38.0,0.3,4,N=160k rejuv,160000,True,0.1,True,132.54980933032067,0.06594401752518181,5,149707,True,True,0,-0.03107942487087481,0.2738806108103879,0.9646115378244445,False,True,-1,-0.03298541328671915,0.42993523798747746,0.8619352243786216,False,True,-1,-0.032086653621875905,0.4369284876389482,0.8635693633120006
38.0,0.3,4,N=10k no-rejuv,10000,False,inf,True,29.355491447934188,0.06502713253481134,0,0,True,True,0,0.011632246655601225,-0.008749965810231646,0.986562361366048,True,True,0,0.007292304079999243,-0.09179898152437288,0.9928882987764667,True,True,0,0.009039270645243687,-0.10141925247242427,0.9930276233828855
38.0,0.3,4,N=10k rejuv KL=0.02,10000,True,0.02,True,845.4259180575909,0.021746339117037564,15,17995,True,True,0,-0.017557735767036342,0.05067276643928023,0.9748860467106274,False,True,-1,-0.03257137635231211,0.08150577065743189,0.9638051681274956,False,True,-1,-0.03176469275156731,0.0830355960502642,0.9640176093089871
38.0,0.3,3,N=10k rejuv,10000,True,0.1,True,3841.5253601325667,0.009185376619442128,6,8043,True,True,0,-0.01250203309937703,0.019759685087867195,1.0084480400449,True,True,0,-0.027941321645005193,0.055206961169932366,1.0111361036704032,True,True,0,-0.02849675959675784,0.05446596732938262,1.0146263360429049
